SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
FADER,C0-56-27-18-69-64,802.11n,-48,87,87.0,2.437,6,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,87,87
FADER-guest,C0-56-27-18-69-66,802.11n,-47,87,87.0,2.437,6,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,87,87
WLANMTSU,D8-84-66-13-10-00,802.11ac,-50,85,85.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:27 PM,85,85
WLANMTSU,D8-84-66-12-51-60,802.11ac,-54,82,82.0,5.180,36,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,82,82
FADER,C0-56-27-18-69-65,802.11n,-56,81,81.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,81,81
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-68,60,60.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,60,60
WLANMTSU,D8-84-66-13-0F-38,802.11n,-72,36,36.0,2.437,6,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,36,36
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-72,36,36.0,5.805,161,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,36,36
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-73,34,34.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,34,34
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-75,30,30.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,30,30
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-77,26,26.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,26,26
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-77,26,26.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,26,26
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-81,18,18.0,5.805,161,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,18,18
WLANMTSU,D8-84-66-13-12-A0,802.11ac,-82,16,16.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,16,16
WLANMTSU,D8-84-66-13-15-A0,802.11ac,-83,14,14.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,14,14
WLANMTSU,D8-84-66-12-8A-10,802.11ac,-86,8,8.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:23:27 PM,3/14/2019 9:23:27 PM,1,3/14/2019 9:23:24 PM,8,8
